join_count,id,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,normalized_cluster,normalized_direction,normalized_frequency,normalized_experience,normalized_quality
4,115,0,3,1,3,0.3,0,0.5,1,0.333333
2,116,1,4,1,3,0.1,1,0.75,1,0.333333
2,117,1,3,0,3,0.1,1,0.5,0,0.333333
4,119,1,4,1,3.5,0.3,1,0.75,1,0.5
4,120,0,1,0,3,0.3,0,0,0,0.333333
4,121,0,2,1,3.5,0.3,0,0.25,1,0.5
4,123,0,1,1,3.5,0.3,0,0,1,0.5
2,124,0,3,1,3.5,0.1,0,0.5,1,0.5
3,125,1,3,1,3,0.2,1,0.5,1,0.333333
2,126,0,2,0,3,0.1,0,0.25,0,0.333333
1,127,1,3,1,3.5,0,1,0.5,1,0.5
1,130,1,3,1,3,0,1,0.5,1,0.333333
1,132,0,4,0,3.5,0,0,0.75,0,0.5
1,133,1,4,1,3,0,1,0.75,1,0.333333
1,145,1,4,1,3.5,0,1,0.75,1,0.5
1,149,1,2,0,3.5,0,1,0.25,0,0.5
1,157,1,3,0,3,0,1,0.5,0,0.333333
1,159,1,2,0,3.5,0,1,0.25,0,0.5
2,160,0,3,0,3.5,0.1,0,0.5,0,0.5
3,162,1,2,0,3.5,0.2,1,0.25,0,0.5
2,163,0,3,0,3.5,0.1,0,0.5,0,0.5
1,168,0,2,0,3.5,0,0,0.25,0,0.5
1,172,1,3,0,3,0,1,0.5,0,0.333333
2,173,1,3,0,3.5,0.1,1,0.5,0,0.5
2,174,0,3,1,3.5,0.1,0,0.5,1,0.5
1,175,1,3,1,3.5,0,1,0.5,1,0.5
1,179,0,2,0,3.5,0,0,0.25,0,0.5
2,182,1,4,1,3.5,0.1,1,0.75,1,0.5
2,183,0,2,1,3,0.1,0,0.25,1,0.333333
1,186,1,2,1,3.5,0,1,0.25,1,0.5
3,194,1,1,0,4,0.2,1,0,0,0.666667
5,200,0,2,0,3.5,0.4,0,0.25,0,0.5
5,201,0,2,1,3,0.4,0,0.25,1,0.333333
2,204,0,2,0,5,0.1,0,0.25,0,1
3,207,1,3,0,2,0.2,1,0.5,0,0
1,213,0,2,1,4,0,0,0.25,1,0.666667
5,220,0,1,0,3.5,0.4,0,0,0,0.5
6,221,1,1,1,3.5,0.5,1,0,1,0.5
3,222,1,2,1,3.5,0.2,1,0.25,1,0.5
1,225,0,1,1,3.5,0,0,0,1,0.5
1,227,0,1,0,3,0,0,0,0,0.333333
1,228,1,2,0,2,0,1,0.25,0,0
1,229,1,4,0,3.5,0,1,0.75,0,0.5
1,231,1,4,1,3.5,0,1,0.75,1,0.5
1,232,1,3,1,3,0,1,0.5,1,0.333333
5,234,1,2,0,3.5,0.4,1,0.25,0,0.5
5,235,1,2,1,3,0.4,1,0.25,1,0.333333
5,236,0,2,0,3.5,0.4,0,0.25,0,0.5
5,238,0,3,0,3.5,0.4,0,0.5,0,0.5
5,239,0,1,1,3,0.4,0,0,1,0.333333
1,242,1,3,1,3,0,1,0.5,1,0.333333
1,252,1,4,1,3,0,1,0.75,1,0.333333
2,255,1,3,1,3,0.1,1,0.5,1,0.333333
2,256,1,4,0,3.5,0.1,1,0.75,0,0.5
1,257,1,4,1,3,0,1,0.75,1,0.333333
1,258,0,3,0,3.5,0,0,0.5,0,0.5
2,262,1,4,1,3,0.1,1,0.75,1,0.333333
2,263,1,3,1,3.5,0.1,1,0.5,1,0.5
2,265,1,4,0,3.5,0.1,1,0.75,0,0.5
2,266,1,2,0,3.5,0.1,1,0.25,0,0.5
1,267,0,3,0,3.5,0,0,0.5,0,0.5
1,268,1,3,1,3,0,1,0.5,1,0.333333
2,271,1,4,1,3.5,0.1,1,0.75,1,0.5
2,272,1,3,1,3,0.1,1,0.5,1,0.333333
1,274,1,4,1,3.5,0,1,0.75,1,0.5
1,276,1,4,1,3,0,1,0.75,1,0.333333
1,278,1,4,0,3.5,0,1,0.75,0,0.5
1,279,1,1,1,3,0,1,0,1,0.333333
1,290,1,1,1,3,0,1,0,1,0.333333
1,291,0,1,1,3.5,0,0,0,1,0.5
1,296,0,2,1,3,0,0,0.25,1,0.333333
1,304,1,2,0,3,0,1,0.25,0,0.333333
1,307,1,3,0,3,0,1,0.5,0,0.333333
1,308,1,1,1,3.5,0,1,0,1,0.5
1,309,1,2,1,3.5,0,1,0.25,1,0.5
1,311,1,3,1,3,0,1,0.5,1,0.333333
